Symbol,Name,ISIN,Exchange
543181.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT GROWTH PLAN GROWTH OPTIONGROWTH,INF204KB13T1,BSE
543182.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT MONTHLY DIVIDEND PLANDIVIDEND PAYOUT,INF204KB18T0,BSE
543183.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT MONTHLY DIVIDEND PLANREINVESTMENT,INF204KB19T8,BSE
543184.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT QUARTERLY DIVIDEND PLANDIVIDEND PAYOUT,INF204KB14T9,BSE
543185.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT QUARTERLY DIVIDEND PLANREINVESTMENT,INF204KB15T6,BSE
543186.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIVIDEND PLANDIVIDEND PAYOUT,INF204KB13U9,BSE
543219.BO,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,INF109KC17V7,BSE
543221.BO,ICICI Prudential Nifty IT ETF,INF109KC16I6,BSE
543224.BO,HDFC Nifty Banking ETF,INF179KC1HY0,BSE
543226.BO,UTI NIFTY BANK ETF,INF789F1AUV1,BSE
543240.BO,Likhitha Infrastructure Ltd,INE060901027,BSE
543241.BO,Veer Global Infraconstruction Ltd,INE244W01010,BSE
543246.BO,Mirae Asset Nifty 100 ESG Sector Leaders ETF,INF769K01GS9,BSE
543255.BO,Nippon India ETF Nifty Infrastructure BeES,INF732E01268,BSE
543284.BO,EKI Energy Services Ltd,INE0CPR01018,BSE
543291.BO,Mirae Asset NYSE FANG+ ETF,INF769K01HF4,BSE
543292.BO,ICICI Prudential Nifty Healthcare ETF,INF109KC1Q72,BSE
543298.BO,Vineet Laboratories Ltd,INE505Y01010,BSE
543323.BO,Mirae Asset Nifty Financial Services ETF,INF769K01HI8,BSE
543326.BO,ICICI Prudential Nifty FMCG ETF,INF109KC19V3,BSE
543347.BO,Axis NIFTY IT ETF,INF846K01Y96,BSE
543348.BO,Axis NIFTY Healthcare ETF,INF846K01Z12,BSE
543357.BO,Axis NIFTY India Consumption ETF,INF846K016C7,BSE
543365.BO,Mirae Asset S&P 500 Top 50 ETF,INF769K01HP3,BSE
543376.BO,Samor Reality Ltd,INE0GD201014,BSE
543383.BO,ICICI Prudential Nifty India Consumption ETF,INF109KC1V42,BSE
543388.BO,DSP Nifty 50 Equal Weight ETF,INF740KA1QK2,BSE
543389.BO,Sigachi Industries Ltd,INE0D0K01022,BSE
543414.BO,Mirae Asset Hang Seng TECH ETF,INF769K01HS7,BSE
543416.BO,Zodiac Energy Ltd,INE761Y01019,BSE
543437.BO,Motilal Oswal Nasdaq Q 50 ETF,INF247L01AU3,BSE
543438.BO,DSP Nifty Midcap 150 Quality 50 ETF,INF740KA1QL0,BSE
543440.BO,DSP Nifty 50 ETF,INF740KA1CL0,BSE
543450.BO,ICICI Prudential Nifty Auto ETF,INF109KC10V2,BSE
543454.BO,Mirae Asset Nifty India Manufacturing ETF,INF769K01IB1,BSE
543465.BO,Motilal Oswal Nifty 200 Momentum 30 ETF,INF247L01BK2,BSE
543470.BO,Softtech Engineers Ltd,INE728Z01015,BSE
543472.BO,Aditya Birla Sunlife Nifty IT ETF,INF209KB11D8,BSE
543473.BO,Aditya Birla Sun Life Nifty Healthcare ETF,INF209KB10C2,BSE
543474.BO,Aditya Birla Sun Life Nifty 50 ETF,INF209KB19D1,BSE
543481.BO,Mirae Asset Nifty Midcap 150 ETF,INF769K01IC9,BSE
543499.BO,Achyut Healthcare Ltd,INE0K1401020,BSE
543501.BO,Motilal Oswal BSE Low Volatility ETF,INF247L01BL0,BSE
543535.BO,We Win Ltd,INE082W01014,BSE
543563.BO,Motilal Oswal BSE Healthcare ETF,INF247L01BB1,BSE
543568.BO,ICICI Prudential Nifty 200 Momentum 30 ETF,INF109KC17C7,BSE
543569.BO,HDFC NIFTY 100 ETF,INF179KC1HR4,BSE
543570.BO,HDFC Mutual Fund,INF179KC1HS2,BSE
543571.BO,ICICI Prudential Nifty Infrastructure ETF,INF109KC16E5,BSE
543574.BO,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,INF209KB15K4,BSE
543575.BO,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,INF209KB14K7,BSE
543576.BO,Motilal Oswal BSE Enhanced Value ETF,INF247L01BE5,BSE
543577.BO,Motilal Oswal BSE Quality ETF,INF247L01BH8,BSE
543593.BO,Dhampur Bio Organics Ltd,INE0I3401014,BSE
543605.BO,HDFC NIFTY100 Quality 30 ETF,INF179KC1DL6,BSE
543607.BO,HDFC NIFTY Growth Sectors 15 ETF,INF179KC1DJ0,BSE
543608.BO,HDFC NIFTY50 Value 20 ETF,INF179KC1DK8,BSE
543627.BO,HDFC NIFTY100 Low Volatility 30 ETF,INF179KC1HU8,BSE
