Date,Equity,Cash,Positions
2018-02-26,1084748.45,66314.41,9
2018-02-27,1085439.62,66314.41,9
2018-02-28,1087662.97,66314.41,9
2018-03-01,1092626.8,66314.41,9
2018-03-02,1092626.8,66314.41,9
2018-03-05,1083470.15,66314.41,9
2018-03-06,1085099.1,66314.41,9
2018-03-07,1068150.64,66314.41,9
2018-03-08,1081371.42,66314.41,9
2018-03-09,1082094.72,66314.41,9
2018-03-12,1083232.8,66314.41,9
2018-03-13,1082647.21,66314.41,9
2018-03-14,1079458.8,37919.49,9
2018-03-15,1081569.07,37919.49,9
2018-03-16,1065235.57,0.34,10
2018-03-19,1043053.63,0.34,10
2018-03-20,1037815.92,100191.75,9
2018-03-21,1040118.37,100191.75,9
2018-03-22,1028126.67,100191.75,9
2018-03-23,1016813.14,100191.75,9
2018-03-26,1023971.21,153714.51,8
2018-03-27,1035618.2,153714.51,8
2018-03-28,1032379.68,53801.51,9
2018-03-29,1032379.68,53801.51,9
2018-04-02,1054120.06,53801.51,9
2018-04-03,1074007.96,53801.51,9
2018-04-04,1070088.25,53801.51,9
2018-04-05,1082673.98,53801.51,9
2018-04-06,1083006.55,53801.51,9
2018-04-09,1077244.21,53801.51,9
2018-04-10,1081620.76,53801.51,9
2018-04-11,1085815.79,53801.51,9
2018-04-12,1082652.76,53801.51,9
2018-04-13,1081174.73,53801.51,9
2018-04-16,1082880.87,53801.51,9
2018-04-17,1091177.03,53801.51,9
2018-04-18,1093507.76,53801.51,9
2018-04-19,1108634.34,53801.51,9
2018-04-20,1113624.89,53801.51,9
2018-04-23,1119852.76,1093.91,10
2018-04-24,1123963.99,1093.91,10
2018-04-25,1117264.41,1093.91,10
2018-04-26,1119761.64,1093.91,10
2018-04-27,1125548.75,1093.91,10
2018-04-30,1133102.57,1093.91,10
2018-05-01,1133102.57,1093.91,10
2018-05-02,1126329.33,1093.91,10
2018-05-03,1122990.24,1093.91,10
2018-05-04,1122339.96,1093.91,10
2018-05-07,1120291.78,1093.91,10
2018-05-08,1122458.28,1093.91,10
2018-05-09,1123004.89,1093.91,10
2018-05-10,1110236.67,1093.91,10
2018-05-11,1115601.69,1093.91,10
2018-05-14,1114644.87,1093.91,10
2018-05-15,1111185.25,1093.91,10
2018-05-16,1110145.88,1093.91,10
2018-05-17,1113476.84,1093.91,10
2018-05-18,1108244.1,1093.91,10
2018-05-21,1095207.15,1093.91,10
2018-05-22,1093833.59,136232.99,8
2018-05-23,1098865.1,116957.59,8
2018-05-24,1087442.75,116957.59,8
2018-05-25,1088289.21,116957.59,8
2018-05-28,1097330.89,116957.59,8
2018-05-29,1097735.65,17067.87,9
2018-05-30,1088904.97,17067.87,9
2018-05-31,1089935.46,17067.87,9
2018-06-01,1079210.15,17067.87,9
2018-06-04,1062774.16,17067.87,9
2018-06-05,1031729.97,17067.87,9
2018-06-06,1049307.82,17067.87,9
2018-06-07,1049283.42,17067.87,9
