Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Exit_Reason,Shares,PnL_Pct,Holding_Days,Result,Entry_Type,Recovery_Speed,Recovery_Days,Score
TATAINVEST.NS,2022-09-12,179.75,2023-03-17,189.18,220 EMA Break,556,5.25,186,Win,ATH,Fast,3,68.93
M%26MFIN.NS,2023-02-07,245.55,2023-03-24,206.97,15% Hard Stop,407,-15.71,45,Loss,52W_HIGH_FALLBACK,Fast,2,92.51
SEPC.NS,2023-01-18,14.1,2023-03-27,11.74,15% Hard Stop,7090,-16.78,68,Loss,52W_HIGH_FALLBACK,Fast,2,79.53
GODFRYPHLP.NS,2022-10-18,454.38,2023-06-27,527.65,220 EMA Break,220,16.12,252,Win,ATH,Fast,2,83.28
BTML.NS,2022-09-13,5.47,2023-07-06,12.42,220 EMA Break,18297,127.27,296,Win,ATH,Fast,16,81.52
WESTLIFE.NS,2023-06-02,840.01,2023-10-30,824.04,220 EMA Break,119,-1.9,150,Loss,ATH,Fast,2,60.59
CARBORUNIV.NS,2023-02-13,1010.78,2023-10-31,1072.0,220 EMA Break,98,6.06,260,Win,ATH,Fast,3,83.82
GODFRYPHLP.NS,2023-11-02,778.69,2023-11-24,659.7,15% Hard Stop,128,-15.28,22,Loss,ATH,Fast,2,85.04
SDBL.NS,2022-03-28,25.04,2024-02-05,105.6,220 EMA Break,3994,321.78,679,Win,52W_HIGH_FALLBACK,Fast,18,67.74
CHOLAFIN.NS,2023-04-10,844.11,2024-02-22,1085.85,220 EMA Break,118,28.64,318,Win,ATH,Fast,2,95.97
SATIN.NS,2023-06-02,186.0,2024-03-07,216.35,220 EMA Break,537,16.32,279,Win,52W_HIGH_FALLBACK,Fast,2,69.78
GENUSPOWER.NS,2023-07-07,166.76,2024-03-14,204.18,220 EMA Break,599,22.44,251,Win,ATH,Fast,4,100.0
SAPPHIRE.NS,2024-03-21,315.8,2024-04-24,282.0,220 EMA Break,316,-10.7,34,Loss,ATH,Fast,11,99.41
PRSMJOHNSN.NS,2023-11-29,175.75,2024-05-08,151.7,220 EMA Break,568,-13.68,161,Loss,ATH,Fast,1,81.5
INDSWFTLAB.NS,2023-06-28,85.8,2024-10-08,120.35,220 EMA Break,1165,40.27,468,Win,52W_HIGH_FALLBACK,Fast,7,90.47
CARBORUNIV.NS,2024-04-25,1339.92,2024-10-23,1406.48,220 EMA Break,74,4.97,181,Win,ATH,Fast,3,83.66
GPPL.NS,2023-03-02,93.83,2024-10-28,175.85,220 EMA Break,1065,87.42,606,Win,52W_HIGH_FALLBACK,Fast,3,77.49
TIINDIA.NS,2022-09-12,2713.43,2024-11-11,3880.16,220 EMA Break,36,43.0,791,Win,ATH,Fast,2,98.41
APTUS.NS,2024-10-09,370.22,2024-11-13,318.36,220 EMA Break,270,-14.01,35,Loss,52W_HIGH_FALLBACK,Fast,1,99.21
BPCL.NS,2024-02-06,258.62,2024-11-19,269.36,220 EMA Break,386,4.16,287,Win,ATH,Fast,9,100.0
THERMAX.NS,2024-02-23,3706.53,2024-11-22,4351.19,220 EMA Break,26,17.39,273,Win,ATH,Fast,4,100.0
HINDZINC.NS,2024-05-09,431.17,2024-12-20,462.2,220 EMA Break,231,7.19,225,Win,ATH,Fast,1,84.59
SIEMENS.NS,2024-03-12,2775.54,2024-12-31,3783.3,220 EMA Break,36,36.31,294,Win,ATH,Fast,1,86.0
ARVSMART.NS,2023-06-02,359.14,2025-01-14,733.93,220 EMA Break,278,104.35,592,Win,ATH,Fast,3,89.54
CUB.NS,2024-10-29,171.19,2025-01-14,161.47,220 EMA Break,584,-5.68,77,Loss,52W_HIGH_FALLBACK,Fast,1,77.71
BLISSGVS.NS,2024-11-29,161.23,2025-02-13,136.72,15% Hard Stop,620,-15.21,76,Loss,52W_HIGH_FALLBACK,Fast,8,90.71
WELENT.NS,2025-01-03,636.41,2025-02-13,526.03,15% Hard Stop,157,-17.34,41,Loss,ATH,Fast,10,83.05
AJMERA.NS,2024-11-27,202.58,2025-02-14,169.36,15% Hard Stop,493,-16.4,79,Loss,ATH,Fast,3,86.95
535916.BO,2023-11-06,21.16,2025-02-18,115.0,220 EMA Break,4725,443.48,470,Win,ATH,Fast,1,98.47
532654.BO,2024-12-03,40.02,2025-02-24,33.24,15% Hard Stop,2498,-16.94,83,Loss,52W_HIGH_FALLBACK,Fast,2,59.12
RPOWER.NS,2025-06-11,73.18,2025-07-22,61.36,15% Hard Stop,1366,-16.15,41,Loss,ATH,Fast,2,91.05
INDOSTAR.NS,2025-06-27,354.0,2025-07-25,292.7,15% Hard Stop,282,-17.32,28,Loss,52W_HIGH_FALLBACK,Fast,1,80.82
REDINGTON.NS,2025-06-13,289.75,2025-08-06,239.2,15% Hard Stop,345,-17.45,54,Loss,ATH,Fast,1,88.89
RAMRAT.NS,2025-07-30,378.61,2025-09-23,321.65,15% Hard Stop,264,-15.04,55,Loss,ATH,Fast,1,99.02
LLOYDSME.NS,2025-06-05,1505.0,2025-09-25,1276.6,15% Hard Stop,66,-15.18,112,Loss,ATH,Fast,3,99.87
AFFLE.NS,2025-06-11,1947.0,2025-11-07,1775.0,220 EMA Break,51,-8.83,149,Loss,ATH,Fast,1,73.48
ERIS.NS,2025-06-13,1764.9,2025-11-14,1518.1,220 EMA Break,56,-13.98,154,Loss,ATH,Fast,1,66.35
STARCEMENT.NS,2025-07-23,237.28,2025-11-14,233.93,220 EMA Break,421,-1.41,114,Loss,52W_HIGH_FALLBACK,Fast,2,78.16
INDRAMEDCO.NS,2025-10-08,583.4,2025-12-03,494.25,15% Hard Stop,171,-15.28,56,Loss,ATH,Fast,2,70.78
532654.BO,2025-10-08,54.44,2025-12-08,44.12,15% Hard Stop,1836,-18.96,61,Loss,52W_HIGH_FALLBACK,Fast,2,62.83
MANINDS.NS,2025-11-21,463.0,2025-12-26,391.8,15% Hard Stop,215,-15.38,35,Loss,52W_HIGH_FALLBACK,Normal,53,79.09
COFORGE.NS,2025-12-05,1965.3,2025-12-26,1669.31,15% Hard Stop,50,-15.06,21,Loss,ATH,Fast,20,87.1
BIOCON.NS,2025-11-19,424.0,2026-01-21,365.0,220 EMA Break,235,-13.92,63,Loss,52W_HIGH_FALLBACK,Fast,4,86.07
HCG.NS,2024-11-06,490.0,2026-01-22,630.05,220 EMA Break,204,28.58,442,Win,ATH,Fast,3,86.05
ECLERX.NS,2025-08-08,2053.49,2026-02-11,1992.5,220 EMA Break,48,-2.97,187,Loss,ATH,Normal,47,79.74
IDFCFIRSTB.NS,2025-12-16,83.34,2026-02-23,70.04,15% Hard Stop,1199,-15.96,69,Loss,52W_HIGH_FALLBACK,Fast,1,91.22
HEG.NS,2025-12-30,594.0,2026-03-10,525.0,220 EMA Break,168,-11.62,70,Loss,52W_HIGH_FALLBACK,Fast,1,90.57
ADANIPORTS.NS,2026-02-05,1568.0,2026-03-12,1402.5,220 EMA Break,63,-10.55,35,Loss,52W_HIGH_FALLBACK,Fast,1,99.02
CUB.NS,2025-07-01,212.99,2026-03-16,230.0,220 EMA Break,469,7.98,258,Win,52W_HIGH_FALLBACK,Fast,1,84.38
